状元茶	配方	冰糖６０克
蚕豆（鲍勒束丝壳）白粉病	主要为害部位	茎和荚果
茶长卷叶蛾	界	动物界
潺槁树	拉丁学名	Litsea glutinosa(Lour.)C.B.Rob.
早熟微体鱼	界	动物界
褐牙鲆	亚门	脊椎动物亚门
菟丝五味茶	原料	红茶3g
褐背拟地鸦	分布区域	宁夏
婺绿	类别	生活
笑话备忘录	中文名	笑话备忘录
青克平	分布区域	北美洲西部
莞香（瑞香科常绿乔木）	别称	女儿香
奇莱红门兰	纲	单子叶植物纲
球花石斛	种	球花石斛
大西洋鲑	别称	三文鱼
砂糖桔	主要食用功效	帮助消化
家鸽	中文名	家鸽
花尾美鳍鱼	科	隆头鱼科
雷波乌头	属	乌头属
东北钩丝壳	纲	子囊菌纲
细天麻	科	兰科
沟胸金古花天牛	族	花天牛族
魔兽贼变种cl	病毒类型	木马
山兰（兰科树兰族植物）	门	被子植物门
硬荀革菌	拉丁学名	Lloydella subpileata (Berk. & Curt.) Hoehn. & Litsch.
小灰粉尺蛾	纲	昆虫纲
德国刚毛波音达犬	目	食肉目  Carnivora
灰背岸八哥	拉丁学名	Acridotheres ginginianus
瘤突齿胸肖叶甲	分布区域	贵州
碧清水蛭肽茶	适宜人群	动脉硬化及心脑血管疾病患者
银木荷	纲	双子叶植物纲
游动单孢菌属	性质	只在气丝上产生孢囊
媚绿刺蛾	门	节肢动物门
厚环粘盖牛肝菌	中文学名	厚环粘盖牛肝菌
玉山绿小灰蝶	种	玉山绿小灰蝶
屏东木姜子	目	毛茛目
斑头鸭	英文名称	Speckled Teal
红嘴鸥	中文学名	红嘴鸥
资中塔罗科血橙	分布区域	四川省资中县
橘花药茶	材料	红花末
天全银莲花	纲	双子叶植物纲
姬小纹青斑蝶	属	绢斑蝶属
灰鹡鸰北亚亚种	英文名称	Grey Wagtail, Gray Wagtail
欧绒鸭	属	绒鸭属
龟裂秃马勃	科	马勃菌科
铜鱼（铜鱼属鲤形目）	属	铜鱼属
蟒（爬行动物）	分布区域	印度
虎（大型猫科动物）	亚属	虎亚属
同色兜兰	目	微子目
卧牛（多肉植物）	科	阿福花科
卷萼兜兰	纲	单子叶植物纲
盆距兰	命名者及年代	D. Don, 1825
肿节石斛	纲	单子叶植物纲
平基槭	门	被子植物门
笑翠鸟（鸟纲翠鸟科鸟类）	英文名称	Laughing Jackass
亚太波纹蛾指名亚种	种	亚太波纹蛾
莲雾	拉丁学名	Syzygium samarangense（Bl.)Merr.et Perry
乳翅卷野螟	界	植物界
长囊毛兰	纲	单子叶植物纲
企鹅（动物名称）	中文学名	企鹅
佛兰德畜牧犬	界	动物界
显柱乌头	族	翠雀族
小斑姬鹟	纲	鸟纲
塞加红唇宝螺	英文名称	Senegalese Pear Cowrie
广东石斛	属	石斛属
阿波罗绢蝶	目	鳞翅目
银木荷	分布区域	四川
金色葡萄球菌	别名	“嗜肉菌
巴氏田螺	科	芋螺科
枇杷瘤蛾	科	瘤蛾科
日本全唇兰	中文学名	日本全唇兰
粉翠夜蛾	界	动物界
蓝亮肖叶甲	属	亮肖叶甲属
鮟鱇	亚纲	辐鳍亚纲
中华大耳螺	界	动物界
地图鱼	亚门	脊椎动物亚门
黄眉柳莺新疆亚种	种	黄眉柳莺
隼（隼形目鸟类）	中文学名	隼
米斛（霍斛）	别名	皇帝草
翠峰	地址	秦巴山系余脉的鄂西北山区
伯瑞犬	中文学名	伯瑞犬
陕西铁线莲	亚科	毛茛亚科
鱼鸟	中文学名	鱼鸟
马来八色鸫	目	雀形目
鹤顶兰	科	兰科
显脉鸢尾兰	属	鸢尾兰属
浓毛山龙眼	界	植物界
美神闪蝶	英文名称	Butterfly Morpho Anaxibia
山兰（兰科树兰族植物）	纲	单子叶植物纲
大斑啄木鸟新疆亚种	命名者及年代	Buturlin,1910
叉唇钗子股	别称	牡丹金钗兰
二叶独蒜兰	中文学名	二叶独蒜兰
龋齿放线菌	中文名	龋齿放线菌
苏格兰折耳猫（猫科动物）	二名法	Felis silvestris catus
僵蚕茶	类型	药茶
小红白毛杯菌	中文学名	小红白毛杯菌
八哥（椋鸟科鸟类）	门	脊索动物门
翠鸟属	界	动物界
隆背喙丽金龟	纲	昆虫纲
静夜（景天科多肉植物）	中文学名	静夜
大斑啄木鸟西北亚种	亚纲	今鸟亚纲
竹象鼻虫	中文学名	竹象鼻虫
粉叶楠	科	樟科Lauraceae
喙金环宝螺	纲	腹足纲
黄条脊花天牛	属	脊花天牛属
毛叶杯状栲	海拔	240—680米
三斑长尾花天牛	中文学名	三斑长尾花天牛
“福娃”变种b	病毒类型	后门
小萼菜豆树	分布区域	缅甸
松针米茶	功效	风湿疼痛、牙痛有明显疗效
八千代（景天科景天属植物）	科	景天科
黄嘴山鸦普通亚种	中文学名	黄嘴山鸦普通亚种
大鸨	拉丁学名	Otis tarda
肉狗	界	动物界
小叶兜兰	种	小叶兜兰
韭萤叶甲	纲	昆虫纲 Insecta
金黄鸡油菌	别称	Hygrophoropsis aurantiaca (Wulf. : Fr.) Maire
金雕（鹰科真雕属猛禽）	亚种	6亚种
蔬食蛇床柄锈菌	拉丁纲名	Basidiomycetes
北非雪松	纲	松柏纲
小叶栾树	属	黄梨木属
鲫花	科	鲤科
海兔芋螺	分布区域	南非
春天麻	族	树兰族
兰屿长喙天蛾	拉丁学名	Macroglossum lanyuana
澳洲鳗鲡	拉丁学名	Anguilla australis
玫瑰鸢尾兰	科	兰科
川青毛茛	中文学名	毛茛科
鹤顶兰	拉丁学名	Phaius tankervilleae (Banks ex L'Herit.) Bl.
厚壳钟螺	拉丁学名	monodonta edulis
短距槽舌兰	种	短距槽舌兰
水毛茛属	亚族	毛茛亚族 Subtrib. Ranunculinae
全裂乌头	界	植物界
荧光鱼（丽鱼科鱼类）	科	丽鱼科
棕斑鸠	界	动物界
杜英（杜英属常绿乔木植物）	别称	缘瓣杜英
缅甸陆龟	分布区域	印度、尼泊尔、经孟加拉、缅甸到印度、马来西亚以及中国的广西
光叶珙桐	别称	水梨子
蚕豆（鲍勒束丝壳）白粉病	病原拉丁学名	Trichocladia baumleri Neger
景宁惠明茶	称誉	金奖惠明茶
画眉海南亚种	门	脊索动物门
黄辐射尺蛾	纲	昆虫纲
直立两色乌头	中国植物志	27:168
褐毛铁线莲	属	铁线莲属
姬双纹小黑瓢虫	界	动物界
小叶兜兰	拉丁学名	Paphiopedilum barbigerm
玫瑰微绿链霉菌	性质	可溶色素笋皮棕色
长毛猿金花虫	亚纲	有翅亚纲
极龙（美国发现的蜥脚类恐龙）	生存地点	美国科罗拉多州
Win32.Troj.QQMsg.lp	处理时间	2007-03-20
德国刚毛波音达犬	亚门	脊椎动物亚门  Vertebrata
垂枝樱	别称	垂枝樱
黑边公子小丑	亚科	海葵亚科
火龙果（水果）	分布区域	亚热带地区
企鹅（动物名称）	英文名称	Penguins
台湾桦金龟	中文学名	台湾桦金龟
枇杷（水果）	二名法	Eriobotrya japonica
纺锤骨螺	别称	Spindle dwarf triton
孔雀鱼	同义学名	Haridichthys reticulatus
半开羊肚菌	目	盘菌目
松蘑	生态环境	海拔700到500米的半阴坡的松林
香花毛兰	界	植物界
曲毛短柄乌头	分布区域	四川
兴安翠雀	目	毛茛目
白术消痞茶	中文名	白术消痞茶
Win32.Troj.Dropper.sp.5936	外文名	Win32.Troj.Dropper.sp.5936
草莓干	门	被子植物门
袋形地星	属	地星属 Geastrum
蛋黄果（山榄科蛋黄果属植物）	门	被子植物门
台湾毛茛	分布区域	产我国台湾
山麻树	门	被子植物门
反萼银莲花	拉丁学名	AnemonereflexaStephan
秋牡丹	纲	双子叶植物纲（木兰纲）
白山耧斗菜	目	毛茛目
孔雀龙（一种鱼类）	界	动物界
拉步甲	亚目	肉食亚目
疹斑宝螺	科	宝螺科
褐底笋螺	目	新腹足目
大黄鱼（鱼类的一种）	界	动物界
锚柱兰	族	树兰族
山桂	种	钝叶桂
松宝茶	参考	神农本草经
黑木耳红枣茶	主要原料	黑木耳
科斯卷管螺	拉丁学名	Gemmula cosmoi
钩柱唐松草	纲	双子叶植物纲
弼马温病毒	感染数	50万用户
同色兜兰	属	兜兰属
小果核果茶	种	小果核果茶
管叶槽舌兰	拉丁学名	Holcoglossum kimballianum (Rchb. f.) Garay
金昌鱼	种	卵形鲳鯵
Backdoor/Agobot.cqq	危害等级	★★
玉山绿小灰蝶	界	动物界
虎眼木	中文学名	虎眼木
金黄硬皮马勃	属	硬皮马勃属
虎皮香菇	门	担子菌亚门（Basidiomycotina）
下载者VBS13056	影响系统	WinMe WinNT Win2000 WinXP
梫星尺蛾	亚门	六足亚门
WinCE/Dust.a	危害等级	*
巨鸊鷉	目	䴙䴘目 Podicipediformes
大型猫科动物	开本	16
白肋翻唇兰	纲	单子叶植物纲
黔桂黄肉楠	属	木姜子亚族
大叶黄杨长毛斑蛾	种	大叶黄杨长毛斑蛾
短距槽舌兰	拉丁学名	Holcoglossum flavescens (Schltr. ) Z. H. Tsi
“爱丽兹”病毒	特点	体积更小
茴香饺子	佐料	姜
橙斑刺尾鱼	门	脊索动物门
冷杉网花天牛	拉丁学名	Sachalinobiakoltzei (Heyden，1887)
白玉春（早熟春萝卜品种）	分布区域	中国北京地区
直立山珊瑚	种	直立山珊瑚
天全银莲花	亚科	毛茛亚科
夜鹭（鹭科夜鹭属鸟类）	拉丁学名	Nycticorax nycticorax
红锈刺革菌	目	非褶菌目
大王酸浆鱿	二名法	Mesonychoteuthis hamiltoni
香蕉面膜	具有	降低胆固醇的作用
灰鹡鸰加纳利亚种	种	灰鹡鸰
芽孢杆菌	科	芽孢杆菌科
浅藤黄链霉菌	领域	生物
横凹齿胸肖叶甲	中文学名	横凹齿胸肖叶甲
小花金莲花	亚科	金莲花亚科
诏安八仙茶	类别	小乔木大叶类
龙王鲸	亚纲	真兽亚纲
对茎毛兰	拉丁学名	Eria pusilla (Griff. ) Lindl.
丽江铁线莲	种	丽江铁线莲
黑暮尺蛾	拉丁学名	Hypomecis catharma (Wehrli)
千里香（植物物种）	科	芸香科
金钱豹（猫科动物）	纲	哺乳纲
双带缟鰕虎	亚门	脊椎动物亚门  (Vertebrata)
短瓣乌头	拉丁学名	Aconitum brevipetalum W T Wang
孔雀龙（一种鱼类）	种	孔雀龙
莓叶铁线莲	种	莓叶铁线莲
轻木	目	鼠李目
石崖茶	又名	石岩茶
白顶鵖	中文学名	白顶鵖（白顶䳭）
褐毛铁线莲	门	被子植物门
金黄色葡萄球菌	门	厚壁菌门
紫檀（豆科紫檀属乔木）	拉丁学名	Pterocarpus indicus Willd.
蚀夜蛾	分布区域	甘肃
新型兰	命名者及年代	Rchb. f., 1852
棱喙毛茛	纲	双子叶植物纲
凤尾鱼（小型经济鱼类之一）	食物	红线虫、水蚤及干饲料均可
横凹齿胸肖叶甲	纲	昆虫纲
苍黄芋螺	纲	腹足纲
野猫（猫科动物）	拉丁学名	Felis silvestris
蟒（爬行动物）	别称	南蛇
超嗜热生物	属	火叶菌属
减肥果（越南水果）	亚目	山茶亚目 Theineae
锐裂银莲花	亚纲	原始花被亚纲
露瓣乌头	目	毛茛目
海兔螺	别称	卵棱螺
雪豹（雪线附近和雪地间活动的猫科动物）	亚门	脊椎动物亚门
黑盖拟多孔菌	目	鬼笔目
云南银莲花	属	银莲花属
蓝翅八色鸫	亚种	无亚种
娇小蛹笔螺	界	动物界
长白乌头	门	被子植物门
椿（植物名称）	科	苦木科
黄丽（景天科景天属多年生多肉植物）	种	黄丽
邵武宽尾花天牛	门	节肢动物门
大孢地花菌	拉丁学名	Albatrellus ellsii
澳洲鳗鲡	科	鳗鲡科
光背突顶跳甲	科	叶甲科
Win32.Troj.ADro2cn	中文名	Win32.Troj.ADro2cn
硬叶兜兰	界	植物界
掌裂毛茛	分布区域	黑龙江
凝脂莲	纲	木兰纲
肖韶子	中文学名	肖韶子
武昌鱼	科	鲤科
黑红足厚缘肖叶甲	中文学名	黑红足厚缘肖叶甲
意大利青霉	界	真菌界
斑腰单孔鲀	门	脊索动物门
黑莓（水果）	中文学名	黑莓
虎（大型猫科动物）	纲	哺乳纲
红嘴鸦（红嘴山鸦别称）	纲	鸟纲
毛茛铁线莲	命名者及年代	Franch, 1886
毒盔孢伞	目	伞菌目、、
褐天牛	分布区域	中国各柑橘产区
高砂锯锹形虫	目	鞘翅目
南湖斑叶兰	属	斑叶兰属
东海纺轴卷管螺	命名时间	Kuroda,1959
乌鶲	别称	乌鸫
链霉菌80-506	组成	甘露醇
绿宝树	门	被子植物门
棉茎木蠹蛾	纲	昆虫纲(Insecta)
斑头雁	别名	黑纹头雁
金昌鱼	别称	卵形鲳鯵
大斑啄木鸟海南亚种	命名者及年代	Hartert et Hesse,1911
棕角胸叶甲	总科	叶甲总科
硬壳柯	界	植物界
高斑叶兰	种	高斑叶兰
棕角胸叶甲	分布区域	福建
地雷宝螺	中文学名	地雷宝螺
黄暗色链霉菌	中文名	黄暗色链霉菌
短柄帚霉	中文名	短柄帚霉
山杏	界	植物界
显脉鸢尾兰	命名者及年代	Griff., 1851
玉带凤蝶	亚种数量	中国4种
石绿（蔬菜）	特征特性	株高57厘米，开展度65厘米
剑龙（侏罗纪晚期食草性四足恐龙）	食性	草食
石生长瓣铁线莲	界	植物界
生肽链霉菌	中文名	生肽链霉菌
星王子	科	景天科
灰鹡鸰	界	动物界
不动杆菌	菌株来源	History←IFO 13644←ATCC 31105
克伦伯犬	界	动物界
老曼峨古树茶	形态	肥大厚实
鹦鹉嘴龙（恐龙）	别称	鹦鹉龙
台湾厚唇兰	纲	单子叶植物纲
齿鲸	科	尖嘴海豚科
秃鹰（动物秃鹰）	英文名称	Bald Eagle
蓝亮肖叶甲	亚纲	有翅亚纲
短距红门兰	目	微子目
竹篦舟蛾	分布区域	四川
果梅	亚科	梅亚科
小点尺蛾	分布区域	湖南(湘西)、云南、西藏；印度，锡金，尼泊尔
干煸茄皮	主要食材	蔬菜
小叶肉实树	界	植物界
仙笔鹤顶兰	中文学名	仙笔鹤顶兰
海雀（鸟的种类）	界	动物界
转子莲	门	被子植物门
北美乔柏	门	裸子植物门
橙斑刺尾鱼	种	橙斑刺尾鱼
小沼兰	纲	单子叶植物纲
石豆毛兰	科	兰科
烟草甲	门	节肢动物门
大余小白巢蛾	界	动物界
蓝燕（雀形目燕科鸟类）	亚纲	今鸟亚纲
星王子	属	青锁龙属
紫纹兜兰	亚属	兜兰亚属
钢铁果实	属系	超人系
兰科	中文名	兰科
流浪狗（无主的狗）	定义	指无主犬
I-Worm/Mydoom.h	病毒长度	：44K
荆桔茶	中文名	荆桔茶
狮子一家（猫科动物）	出版社	江苏少年儿童出版社
蛇头菇	分布区域	河北、吉林、青海等。
刺鸟（一种鸟类）	别名	珍珠鸟或翡翠鸟
麻田黄刺蛾	分布区域	安徽
白腹蓝（姬）鹟	门	脊索动物门
台湾阔蕊兰	亚科	兰亚科
渡渡鸟（已灭绝鸟类）	英文名称	dodo
角药偏翅唐松草	系	偏翅唐松草系Ser. Violacea
杜英（杜英属常绿乔木植物）	属	杜英属
白网灯蛾	纲	昆虫纲
麻田黄刺蛾	科	刺蛾科
多脉鹅耳枥	纲	双子叶植物纲
阔蕊兰	纲	单子叶植物纲
黑嘴鸥（鸥属的鸟类的一种）	科	鸥科
鹦鹉鱼	分布区域	西太平洋、西印度洋、红海（非洲东北部和阿拉伯半岛之间的狭长海域）
滇楸	别称	紫楸
布莱町芋螺	纲	腹足纲
卷贝	门	脊椎动物门
碧螺春（茶叶种类、中国十大名茶之一）	分布区域	江苏省苏州市太湖洞庭山
毛序准噶尔乌头	目	毛茛目
大理翠雀花	亚科	金莲花亚科
致病杆菌属	大小	平均大小为2.6μm
漆黑异丽金龟	分布区域	四川
肉狗	属	犬属
纵助人字果	属	人字果属
骨鳞	特点	真皮性
苦荞茶	纲	双子叶植物纲 Dicotyledoneae
灿绿亮肖叶甲	总科	叶甲总科
东方铁筷子	目	毛茛目
黑松	科	松科
苏瓣石斛	科	兰科
珍珠鸡	目	鸡形目
粪盘菌	中文学名	粪盘菌
斑龙（恐龙名称）	属	斑龙属
伏毛紫花小升麻	科	毛茛科
褐紫乌头	属	乌头属
华石斛	命名者及年代	T. Tang et F. T. Wang, 1974
欧洲黑松	界	植物界
雨燕（雨燕科通称）	门	脊索动物门
高山天牛	种	栗山天牛
细茎盆距兰	亚科	兰亚科
星状诺卡氏菌	特性	培养24小时后开始分枝
绒叶斑叶兰	别称	白肋斑叶兰
瀑泉茶	产地	湖北咸丰县
水霉	科目	水霉科
黑松	种	黑松
金焰笛鲷	亚门	脊椎动物亚门
戴胜鸟	别名	鸡冠鸟
海月水母	分布区域	印度洋
锦鲤	分布区域	俄罗斯
Win32.Troj.ProxyRanky.o	外文名	Win32.Troj.ProxyRanky.o
鹭鸶（鹭科鸟类）	中文学名	鹭鸶
宽叶耳唇兰	中文学名	宽叶耳唇兰
距瓣尾囊草	种	距瓣尾囊草
宽敞透孔螺	界	动物界
硬皮马勃	科	硬皮马勃科
毒红菇	亚纲	同担子菌亚纲(Homobasidiomycetes)
艾利萨海蛳螺	目	中腹足目
出血齿菌	分布区域	伊朗
小萼菜豆树	分布区域	印度
观赏鱼（具有观赏价值的鱼类）	门	脊索动物门
松乳菇	别称	松树蘑
拳距瓜叶乌头	拉丁学名	Aconitum hemsleyanum Pritz. var. circinatum W.T.Wang
毛氏峨眉龙（四川井研一完整的蜥脚类恐龙）	出版社	海洋出版社
格陵兰鲨	中文学名	格陵兰鲨
伊犁乌头	生境	高山草甸, 山坡草甸
沙棘（胡颓子科沙棘属植物）	属	沙棘属
假尾孢菌属	描述	1910年
美丽地宝兰	族	树兰族
五彩绿咬鹃	门	脊索动物门
多枝唐松草	门	被子植物门
花菜（蔬菜）	口味	性平味甘，质地细嫩，清甜爽脆
巢湖小银鱼	中文名	巢湖小银鱼
铺散毛茛	目	毛莨目(Ranunculales)
青衣（鱼类青衣）	别称	青衣鱼
平安树	门	被子植物门
翠鸟属	种	15种
蓝角胸肖叶甲	目	鞘翅目
棉毛茛	目	毛莨目
赭盖红菇	中文名	赭盖红菇
红肚铅笔鱼	界	动物界
四大红茶	纲	木兰纲
五唇兰	界	植物界
燕子（燕科鸟类统称）	界	动物界
淡水鳗	属	鳗鱼属
飞龙鸟	属	榛鸡属
长柔毛翠雀	亚纲	木兰亚纲
钝吻鲑	门	脊索动物门
媚绿刺蛾	中文学名	媚绿刺蛾
朱兰（兰科植物）	亚科	兰亚科
TrojanDownloader.Agent.ajz	中文名	“代理木马”变种ajz
亚马逊森蚺	属	水蚺属
香亚环乳菇	目	伞菌目
疏毛银叶铁线莲	纲	双子叶植物纲
疏毛银叶铁线莲	界	植物界
瘤孢地菇	属	地菇属
台湾人字果	种	台湾人字果
麻桐树	别称	山黄麻
铜背亮肖叶甲	亚纲	有翅亚纲
祝蛾科	中文学名	祝蛾科
楸螟	目	鳞翅目
大花杨桐	拉丁学名	var.wallichiana（DC.）Ming
鳕鱼（动物）	目	鳕形目Gadiformes
胧月（景天科植物名称）	分布区域	墨西哥
冕鵖	拉丁学名	Oenanthe pileata
红宝石卷管螺	纲	腹足纲
大天鹅指名亚种	科	鸭科
乙型溶血性链球菌	特点	致病性强
豹猫（猫科动物）	中文学名	豹猫
长须阔蕊兰	门	被子植物门
堇花唐松草	拉丁学名	Thalictrum diffusiflorum C. Marquand & Airy Shaw
多根乌头	族	翠雀族
彩凤（虎皮鹦鹉）	属	虎皮鹦鹉属
金凤鸟	门	脊索动物门
长尾大蚕蛾	亚纲	有翅亚纲
恶性叶甲	门	节肢动物门 Arthropoda
沙弥绶尺蛾	亚门	六足亚门
叉唇石斛	别称	长柔毛石斛
黄金鲫	界	动物界
飞龙鸟	分布区域	东北大小兴安岭、长白山、新疆阿尔泰山
细叶石仙桃	纲	单子叶植物纲
淡斑蟹守螺	科	蟹守螺科
棱喙毛茛	中文学名	棱喙毛茛
峨眉鹅耳枥	属	鹅耳枥属
白桦（落叶类乔木植物）	目	山毛榉目（壳斗目）
免疫细胞	免疫细胞	吞噬细胞
红胸黑瓢虫	中文学名	红胸黑瓢虫
叉唇角盘兰	科	兰科
加州鲈鱼	界	动物界
心唇沼兰	中文学名	心唇沼兰
水霉	类属	真菌的一属
鱼鸟	目	鱼鸟目
糙叶唐松草	界	植物界
链霉菌788-A2	形状	柔曲
大鱼狗	亚种	2亚种
红珍珠（金鱼）	种	红珍珠
美丽纹胸鮡	界	动物界
单叶厚唇兰	命名者及年代	Gagnep.，1932
巨齿唐松草	纲	双子叶植物纲（Dicotyledoneae）
石栗	门	被子植物门
阿里山乌龙茶	品牌	YUYUPAS
杏疔菌	目	盘菌目
大花鹤顶兰	种	大花鹤顶兰
银甘茶	功能	清热凉血，调和胃气
蜜桃（水果名称）	特点	个头硕大，形态秀美，色泽鲜艳
科威特链霉菌	类别	放线菌
叠裂银莲花	纲	双子叶植物纲
消除疲劳茶	茶材	菩提子、薰衣草、茉莉各适量
叠裂银莲花	中文学名	叠裂银莲花
小栓菌	分布区域	新疆
暗红修胸花天牛	门	节肢动物门
小花阔蕊兰	中文学名	小花阔蕊兰
米林乌头	亚属	乌头亚属
松蘑	分布区域	安徽 湖北
鸻科	科	鸻科
米团花	别名	渍糖花
大白鲨（海洋软骨鱼纲生物）	分布区域	大洋热带及温带区
